Code,ZipLow,ZipHigh
AR,9210,9211
AR,9300,9300
AR,9303,9303
AR,9310,9311
AR,9405,9405
AR,9407,9408
AU,0822,0822
AU,0832,0832
AU,0835,0835
AU,0836,0836
AU,0837,0837
AU,0838,0838
AU,0840,0840
AU,0845,0845
AU,0846,0846
AU,0847,0847
AU,0850,0850
AU,0851,0851
AU,0852,0852
AU,0853,0853
AU,0854,0854
AU,0860,0860
AU,0861,0861
AU,0862,0862
AU,0870,0870
AU,0871,0871
AU,0872,0872
AU,0880,0880
AU,0881,0881
AU,0885,0885
AU,0886,0886
AU,2311,2311
AU,2312,2312
AU,2315,2315
AU,2319,2319
AU,2321,2321
AU,2325,2325
AU,2326,2326
AU,2327,2327
AU,2328,2328
AU,2329,2329
AU,2330,2330
AU,2331,2331
AU,2333,2333
AU,2334,2334
AU,2335,2335
AU,2336,2336
AU,2337,2337
AU,2338,2338
AU,2339,2339
AU,2340,2340
AU,2341,2341
AU,2342,2342
AU,2343,2343
AU,2344,2344
AU,2345,2345
AU,2346,2346
AU,2347,2347
AU,2348,2348
AU,2350,2350
AU,2351,2351
AU,2352,2352
AU,2353,2353
AU,2354,2354
AU,2355,2355
AU,2356,2356
AU,2357,2357
AU,2358,2358
AU,2359,2359
AU,2360,2360
AU,2361,2361
AU,2365,2365
AU,2369,2369
AU,2370,2370
AU,2371,2371
AU,2372,2372
AU,2379,2379
AU,2380,2380
AU,2381,2381
AU,2382,2382
AU,2386,2386
AU,2387,2387
AU,2388,2388
AU,2390,2390
AU,2395,2395
AU,2396,2396
AU,2397,2397
AU,2398,2398
AU,2399,2399
AU,2400,2400
AU,2401,2401
AU,2402,2402
AU,2403,2403
AU,2404,2404
AU,2405,2405
AU,2406,2406
AU,2408,2408
AU,2409,2409
AU,2410,2410
AU,2411,2411
AU,2415,2415
AU,2420,2420
AU,2421,2421
AU,2422,2422
AU,2423,2423
AU,2424,2424
AU,2425,2425
AU,2426,2426
AU,2427,2427
AU,2428,2428
AU,2429,2429
AU,2430,2430
AU,2431,2431
AU,2439,2439
AU,2440,2440
AU,2441,2441
AU,2442,2442
AU,2443,2443
AU,2444,2444
AU,2445,2445
AU,2446,2446
AU,2447,2447
AU,2448,2448
AU,2449,2449
AU,2450,2450
AU,2452,2452
AU,2453,2453
AU,2454,2454
AU,2455,2455
AU,2456,2456
AU,2460,2460
AU,2462,2462
AU,2463,2463
AU,2464,2464
AU,2465,2465
AU,2466,2466
AU,2469,2469
AU,2470,2470
AU,2471,2471
AU,2472,2472
AU,2473,2473
AU,2474,2474
AU,2475,2475
AU,2476,2476
AU,2477,2477
AU,2478,2478
AU,2479,2479
AU,2480,2480
AU,2481,2481
AU,2482,2482
AU,2483,2483
AU,2484,2484
AU,2487,2487
AU,2488,2488
AU,2489,2489
AU,2490,2490
AU,2535,2535
AU,2536,2536
AU,2537,2537
AU,2538,2538
AU,2539,2539
AU,2540,2540
AU,2541,2541
AU,2545,2545
AU,2546,2546
AU,2548,2548
AU,2549,2549
AU,2550,2550
AU,2551,2551
AU,2575,2575
AU,2576,2576
AU,2577,2577
AU,2578,2578
AU,2579,2579
AU,2580,2580
AU,2581,2581
AU,2582,2582
AU,2583,2583
AU,2584,2584
AU,2585,2585
AU,2586,2586
AU,2587,2587
AU,2588,2588
AU,2590,2590
AU,2594,2594
AU,2621,2621
AU,2622,2622
AU,2623,2623
AU,2624,2624
AU,2625,2625
AU,2626,2626
